,epoch,train_exact,train_f1,train_total,train_HasAns_exact,train_HasAns_f1,train_HasAns_total,train_NoAns_exact,train_NoAns_f1,train_NoAns_total,train_best_exact,train_best_exact_thresh,train_best_f1,train_best_f1_thresh,validation_exact,validation_f1,validation_total,validation_HasAns_exact,validation_HasAns_f1,validation_HasAns_total,validation_NoAns_exact,validation_NoAns_f1,validation_NoAns_total,validation_best_exact,validation_best_exact_thresh,validation_best_f1,validation_best_f1_thresh
0,0,15.807365004335516,20.006591261404008,130319,1.124151990877783,7.427223443577065,86821,45.114717918065196,45.114717918065196,43498,33.38039733269899,0.10125732421875,33.458976721480056,0.174560546875,22.445885622841743,34.32839277939593,11873,12.112010796221323,35.91110112512993,5928,32.7502102607233,32.7502102607233,5945,50.07159100480081,0.0,50.07973919254348,0.1451416015625
1,1,15.47817279138115,36.07145105147881,130319,13.145437163819814,44.05610888584113,86821,20.134259046392938,20.134259046392938,43498,34.316561667907216,0.1302490234375,45.10250987257273,0.33154296875,17.779836604059632,36.24665550557439,11873,24.966261808367072,61.95285776276698,5928,10.613961312026913,10.613961312026913,5945,51.44445380274573,0.11920166015625,60.443467563782804,0.226806640625
2,2,15.962369263115892,40.010213284924966,130319,17.249283007567293,53.34528495500026,86821,13.393719251459837,13.393719251459837,43498,36.66311128845372,0.1517333984375,53.47218115518092,0.34228515625,18.091468036721974,36.831178655945166,11873,27.243589743589745,64.77675171761712,5928,8.96551724137931,8.96551724137931,5945,52.57306493725259,0.14208984375,63.97619080684334,0.309814453125
3,3,16.42124325693107,41.346091528026676,130319,18.826090461985004,56.23848264637453,86821,11.6212239643202,11.6212239643202,43498,38.09881905171157,0.1702880859375,56.916023680066175,0.367919921875,17.367135517560854,36.79257301321446,11873,27.412280701754387,66.31886291934751,5928,7.350714886459209,7.350714886459209,5945,53.12052556219995,0.04779052734375,65.56472344436642,0.15380859375
4,4,16.515627038267635,42.06539217245939,130319,19.43193467018348,57.782331953360696,86821,10.694744585957976,10.694744585957976,43498,39.21837951488271,0.1728515625,59.01997119872848,0.375244140625,17.729301777141412,37.130218644905575,11873,28.171390013495277,67.02886065636983,5928,7.317073170731708,7.317073170731708,5945,54.00488503326876,0.0894775390625,66.62734760851276,0.2098388671875
5,5,16.899300946139856,42.67524561294857,130319,20.037778878381957,58.727673408896884,86821,10.634971722837832,10.634971722837832,43498,39.851441462871875,0.17724609375,60.42216055462632,0.35302734375,17.518739998315507,37.649835096597435,11873,27.074898785425102,67.39481985524576,5928,7.9899074852817495,7.9899074852817495,5945,53.71009854291249,0.039703369140625,66.94119817476685,0.1328125
6,6,16.88548868545646,42.894671479090924,130319,20.232432245654852,59.27241902861821,86821,10.20506689962757,10.20506689962757,43498,40.360193064710444,0.1883544921875,61.29260756126695,0.345458984375,17.19026362334709,37.09307387999488,11873,27.648448043184885,67.51114476673008,5928,6.761984861227923,6.761984861227923,5945,53.76905584098375,0.042083740234375,67.17239987341821,0.1748046875
7,7,16.986011249318977,43.13574538350066,130319,20.66665898803285,59.91761443236566,86821,9.639523656260058,9.639523656260058,43498,40.70626692961118,0.1748046875,62.08689422778134,0.3876953125,17.560852354080687,37.363653897959445,11873,28.289473684210527,67.9518661826027,5928,6.862910008410429,6.862910008410429,5945,54.14806704287038,0.087890625,67.73673821366056,0.29345703125
8,8,17.189358420491256,43.466509556032925,130319,20.926964674445124,60.36917403430787,86821,9.729182950940274,9.729182950940274,43498,41.079197968062985,0.183349609375,62.748737200333785,0.381103515625,17.333445632948706,37.300088745002924,11873,28.30634278002699,68.296888270819,5928,6.3919259882254,6.3919259882254,5945,54.291249052472,0.056640625,68.4137285345116,0.27001953125
9,9,17.052770509288745,43.34273115376298,130319,20.90623236313795,60.367668896087665,86821,9.361349947124006,9.361349947124006,43498,41.281777791419515,0.182373046875,62.93925035927383,0.36669921875,17.518739998315507,37.343678348210176,11873,28.711201079622132,68.41793067278931,5928,6.358284272497897,6.358284272497897,5945,54.21544681209467,0.05072021484375,68.23624297556908,0.1849365234375
10,10,17.2453748110406,43.60390344367539,130319,21.066331878232226,60.63068949765974,86821,9.618833049795393,9.618833049795393,43498,41.43601470238415,0.1827392578125,63.37257825145017,0.35986328125,17.57769729638676,37.454824474091076,11873,28.778677462887988,68.58993437599173,5928,6.408746846089151,6.408746846089151,5945,54.21544681209467,0.05633544921875,68.16152860506051,0.269287109375
