,epoch,train_exact,train_f1,train_total,train_HasAns_exact,train_HasAns_f1,train_HasAns_total,train_NoAns_exact,train_NoAns_f1,train_NoAns_total,train_best_exact,train_best_exact_thresh,train_best_f1,train_best_f1_thresh,validation_exact,validation_f1,validation_total,validation_HasAns_exact,validation_HasAns_f1,validation_HasAns_total,validation_NoAns_exact,validation_NoAns_f1,validation_NoAns_total,validation_best_exact,validation_best_exact_thresh,validation_best_f1,validation_best_f1_thresh
0,0,16.80645186043478,19.526992315680136,130319,0.2499395307586874,4.333492030580499,86821,49.85286679847349,49.85286679847349,43498,33.37809528925176,0.0,33.378130168697936,0.1114501953125,24.77048766107976,32.11981185060919,11873,3.9642375168690958,18.683961893097734,5928,45.51724137931034,45.51724137931034,5945,50.07159100480081,0.0,50.07159100480081,0.0
1,1,16.286190041360047,32.76976641522086,130319,9.685444765667292,34.42742181574739,86821,29.461124649409168,29.461124649409168,43498,33.802438631358434,0.129638671875,41.025863002310935,0.295654296875,19.388528594289564,36.29442999779582,11873,21.761133603238868,55.62141824626004,5928,17.022708158116064,17.022708158116064,5945,50.2316179567085,0.061431884765625,56.04868266879912,0.1903076171875
2,2,16.623055732471858,38.89769513593598,130319,15.574572971976826,49.00898091959286,86821,18.715803025426457,18.715803025426457,43498,35.782195995979095,0.153076171875,50.86128514225829,0.3271484375,19.19481175776973,37.11468446967788,11873,25.725371120107962,61.61650619238923,5928,12.682926829268293,12.682926829268293,5945,51.233892023919815,0.08465576171875,60.68022312833228,0.254150390625
3,3,16.783431425962448,40.749222301802824,130319,17.61555384066067,53.588393374283,86821,15.122534369396295,15.122534369396295,43498,37.33914471412457,0.162353515625,54.92873054751624,0.35693359375,18.21780510401752,37.09521295390961,11873,26.602564102564102,64.4115154186514,5928,9.857022708158116,9.857022708158116,5945,52.034026783458266,0.06646728515625,63.76613922407019,0.2349853515625
4,4,16.953782641057714,41.817789739387045,130319,18.588820677025144,55.909889785272426,86821,13.690284610786703,13.690284610786703,43498,38.46330926419018,0.168701171875,57.58720404797101,0.3505859375,18.226227575170554,37.479216892325724,11873,27.125506072874494,65.68669739584689,5928,9.352396972245584,9.352396972245584,5945,52.26985597574328,0.0755615234375,64.78423653886493,0.205322265625
5,5,17.233864593804434,42.47887914897439,130319,19.45957775192638,57.352542032632094,86821,12.791392707710699,12.791392707710699,43498,39.436306294554136,0.164306640625,59.2613838407966,0.348876953125,17.973553440579465,37.556031980983434,11873,28.019568151147098,67.24068281211413,5928,7.956265769554247,7.956265769554247,5945,53.230017687189424,0.07489013671875,66.30822418512446,0.1939697265625
6,6,17.075790943761078,42.67116172710421,130319,19.762499856025617,58.18135157524648,86821,11.713182215274266,11.713182215274266,43498,39.94198850512972,0.1763916015625,60.42670245499578,0.364501953125,18.00724332519161,37.49443949824372,11873,28.576248313090417,67.60652499369841,5928,7.468460891505467,7.468460891505467,5945,53.5500715910048,0.079345703125,66.75240817675811,0.2022705078125
7,7,17.202403333358912,43.048977778320385,130319,20.15526197578927,58.95117235568473,86821,11.308565911076371,11.308565911076371,43498,40.38091145573554,0.16943359375,61.32419726789971,0.365234375,17.864061315589993,37.562399304813034,11873,28.59311740890688,68.0462832230164,5928,7.165685449957948,7.165685449957948,5945,54.013307504421796,0.06915283203125,67.60703463969011,0.2305908203125
8,8,17.258419723908254,43.336905543550266,130319,20.288870204213268,59.43288137121116,86821,11.209710791300749,11.209710791300749,43498,40.68247914732311,0.2044677734375,62.058605745790494,0.3701171875,17.661922007917124,37.54093916121747,11873,28.323211875843455,68.13825416011004,5928,7.031118587047939,7.031118587047939,5945,54.07226480249305,0.07421875,67.89467921637444,0.18212890625
9,9,17.343595331455887,43.465766958045585,130319,20.568756406860093,59.77834031173916,86821,10.906248563152328,10.906248563152328,43498,40.875083449074964,0.1893310546875,62.4209473192679,0.386474609375,17.611387180998904,37.49703864277188,11873,28.525641025641026,68.35397095236607,5928,6.72834314550042,6.72834314550042,5945,53.95435020635054,0.0792236328125,67.84636096896637,0.2288818359375
10,10,17.287578940906545,43.6078282832566,130319,20.539961530044575,60.0468616353844,86821,10.795898662007449,10.795898662007449,43498,41.103753098166806,0.1798095703125,62.75694072454079,0.35498046875,17.586119767539795,37.41665331084392,11873,28.59311740890688,68.31105343448831,5928,6.610597140454163,6.610597140454163,5945,53.86170302366715,0.05706787109375,67.77914898639763,0.1614990234375
